form	lemma	morph	POS
Ch’est	chëoir	NOMB.=s|GENRE=m|CAS=r	VERcjg
le	le	NOMB.=s|GENRE=m|CAS=r	DETdef
vie	vie1	NOMB.=s|GENRE=f|CAS=r	NOMcom
de	de	MORPH=empty	PRE
sainte	saint1	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	ADJqua
Baltelt	bataille	NOMB.=s|GENRE=f|CAS=r	NOMcom
roine	roine	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	ADJqua
.	.	_	PONfrt
Beneois	benëir	NOMB.=s|GENRE=m|CAS=n	VERppe
soit	estre1	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	VERcjg
Nostres	nostre	NOMB.=s|GENRE=m|CAS=n	ADJqua
Sires	seignor	NOMB.=s|GENRE=m|CAS=n	NOMcom
qui	qui	NOMB.=s|GENRE=m|CAS=n	PROrel
voulroit	voloir	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
que	que4	MORPH=empty	CONsub
cascuns	chascun	NOMB.=s|GENRE=m|CAS=n	DETind
hom	ome	NOMB.=s|GENRE=m|CAS=n	NOMcom
fust	estre1	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
saus	sauf	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	ADJqua
et	et	MORPH=empty	CONcoo
que	que4	MORPH=empty	CONsub
cascuns	chascun	NOMB.=s|GENRE=m|CAS=n	PROind
venist	venir	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
a	a3	MORPH=empty	PRE
le	le	NOMB.=s|GENRE=m|CAS=r	DETdef
connissanche	conquestence	NOMB.=s|GENRE=m|CAS=r	NOMcom
de	de	MORPH=empty	PRE
se	suen	PERS.=3|NOMB.=s|GENRE=f|CAS=r	CONsub
verité	verité	NOMB.=s|GENRE=f|CAS=r	NOMcom
.	.	_	PONfrt
Ses	suen	PERS.=3|NOMB.=p|GENRE=m|CAS=r	DETpos
nons	nom	NOMB.=p|GENRE=m|CAS=r	NOMcom
doit	devoir	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	VERcjg
estre	estre1	MORPH=empty	VERinf
glorefiés	gloref	NOMB.=s|GENRE=m|CAS=n	VERppe
en	en1	MORPH=empty	PRE
toutes	tot	NOMB.=p|GENRE=f|CAS=r	DETind
coses	couz	NOMB.=p|GENRE=f|CAS=r	NOMcom
,	,	_	PONfbl
car	car	MORPH=empty	CONcoo
il	il	PERS.=3|NOMB.=s|GENRE=m|CAS=n	PROper
fait	faire	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	VERcjg
des	de+le	NOMB.=p|GENRE=m|CAS=r	PRE.DETdef
petiz	patis	NOMB.=p|GENRE=m|CAS=r	NOMcom
grans	grant	NOMB.=p|GENRE=m|CAS=r	ADJqua
et	et	MORPH=empty	CONcoo
des	de+le	NOMB.=p|GENRE=m|CAS=r	PRE.DETdef
fous	fou	NOMB.=p|GENRE=m|CAS=r	NOMcom
saiges	saget	NOMB.=p|GENRE=m|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
des	de+le	NOMB.=p|GENRE=m|CAS=r	PRE.DETdef
povres	povre	NOMB.=p|GENRE=m|CAS=r	NOMcom
riches	riche	NOMB.=p|GENRE=f|CAS=r	ADJqua
,	,	_	PONfbl
si	si	DEGRE=-	ADVgen
comme	come1	MORPH=empty	CONsub
nous	nul	NOMB.=s|GENRE=m|CAS=n	PROper
veons	vëoir	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=p	VERcjg
qu’il	quel1	NOMB.=s|GENRE=m|CAS=n	PROint
est	estre1	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	VERcjg
aempli	aemplir	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERppe
en	en1	MORPH=empty	PRE
ceste	cest	NOMB.=s|GENRE=f|CAS=r	DETdem
glorieuse	glorïos	NOMB.=s|GENRE=f|CAS=r	NOMcom
roine	roine	NOMB.=s|GENRE=f|CAS=r	NOMcom
me	mon1	PERS.=1|NOMB.=s|GENRE=m|CAS=i	PROper
dame	dame	NOMB.=s|GENRE=f|CAS=n	NOMcom
sainte	saint1	NOMB.=s|GENRE=f|CAS=r	ADJqua
Baltalt	bataler	NOMB.=s|GENRE=f|CAS=r	VERcjg
,	,	_	PONfbl
de	de	MORPH=empty	PRE
la	le	NOMB.=s|GENRE=f|CAS=r	DETdef
cui	cui	NOMB.=s|GENRE=f|CAS=r	PROrel
vie	vie1	NOMB.=s|GENRE=f|CAS=r	NOMcom
nos	nos1	PERS.=2|NOMB.=p|GENRE=m|CAS=i	PROper
volons	voler	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p	VERcjg
un	un	NOMB.=s|GENRE=m|CAS=r	DETndf
peu	poi	NOMB.=s|GENRE=m|CAS=r	NOMcom
parler	parler	NOMB.=x|GENRE=x|CAS=x	VERinf
a	a3	MORPH=empty	PRE
l’onnor	lonçor	NOMB.=x|GENRE=x|CAS=x	NOMcom
et	et	MORPH=empty	CONcoo
a	a3	MORPH=empty	PRE
la	le	NOMB.=s|GENRE=f|CAS=r	DETdef
gloire	gloire	NOMB.=s|GENRE=f|CAS=r	NOMcom
Nostre	nostre	PERS.=1|NOMB.=s|GENRE=m|CAS=r	DETpos
Seigneur	seignor	NOMB.=s|GENRE=m|CAS=r	NOMcom
.	.	_	PONfrt
Cheste	chester	NOMB.=s|GENRE=f|CAS=n	DETdem
dame	dame	NOMB.=s|GENRE=f|CAS=n	NOMcom
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
nee	naistre	NOMB.=s|GENRE=f|CAS=n	VERppe
de	de	MORPH=empty	PRE
Sessoingne	Sessoignon	NOMB.=s|GENRE=f|CAS=r	NOMpro
et	et	MORPH=empty	CONcoo
estraite	estraitier	NOMB.=s|GENRE=f|CAS=r	VERppe
de	de	MORPH=empty	PRE
roial	roial2	NOMB.=s|GENRE=f|CAS=r	ADJqua
lignie	ligniee	NOMB.=s|GENRE=f|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
en	en1	MORPH=empty	PRE
sa	suen	PERS.=3|NOMB.=s|GENRE=f|CAS=r	DETpos
jonece	jonce	NOMB.=s|GENRE=f|CAS=r	NOMcom
ravie	ravenir	NOMB.=s|GENRE=f|CAS=r	VERppe
de	de	MORPH=empty	PRE
mescreans	mescroire	NOMB.=p|GENRE=m|CAS=r	VERppa
et	et	MORPH=empty	CONcoo
fu	estre1	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	VERcjg
par	par	MORPH=empty	PRE
le	le	NOMB.=s|GENRE=m|CAS=r	DETdef
porveanche	porveante	NOMB.=s|GENRE=m|CAS=r	NOMcom
Nostre	nostre	PERS.=1|NOMB.=s|GENRE=m|CAS=r	DETpos
Seigneur	seignor	NOMB.=s|GENRE=m|CAS=r	NOMcom
amenee	amener	NOMB.=s|GENRE=m|CAS=r	VERppe
en	en1	MORPH=empty	PRE
cest	cest	NOMB.=s|GENRE=m|CAS=r	DETdem
païs	päis	NOMB.=s|GENRE=m|CAS=r	NOMcom
et	et	MORPH=empty	CONcoo
vendue	vendre	NOMB.=s|GENRE=f|CAS=n	VERcjg
a	a3	MORPH=empty	PRE
.	.	_	PONfrt
i	i2	MORPH=empty	PROadv
.	.	_	PONfrt
haut	haut	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	ADJqua
home	ome	NOMB.=s|GENRE=m|CAS=r	NOMcom
qui	qui	NOMB.=s|GENRE=m|CAS=n	PROrel
avoit	avoir	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	VERcjg
