form	lemma	morph	POS		
Le	le		
Libraire	Libraire		
au	à_le		
lecteur	lecteur		
Le	le		
Libraire	Libraire		
Au	à_le		
Lecteur	Lecteur		
.	.		
CE	ce		
Livre	Livre		
doit	devoir		
avoir	avoir		
dequoy	dequoy		
plaire	plaire		
à	à		
tout	tout		
le	le		
monde	monde		
,	,		
à	à		
cause	cause		
de	de		
la	le		
diversité	diversité		
des	de_le		
matieres	matieres		
dont	dont		
il	il		
est	être		
remply	remply		
:	:		
Ceux	celui		
qui	qui		
aiment	aimer		
que	que		
les	le		
Romans	Romans		
,	,		
y	y		
trouveront	trouver		
des	un		
Histoires	Histoires		
divertissantes	divertissant		
.	.		
Les	le		
Curieux	Curieux		
des	de_le		
Nouvelles	Nouvelles		
,	,		
&	i		
les	le		
Provinciaux	Provinciaux		
&	i		
les	le		
Etrangers	Etranger		
,	,		
qui	qui		
n’ont	navoir		
aucune	aucun		
connoissance	connaissance		
de	de		
plusieurs	plusieurs		
Personnes	Personnes		
d’une	deune		
grande	grand		
naissance	naissance		
,	,		
ou	ou		
d’un	déun		
grand	grand		
mérite	mérite		
,	,		
dont	dont		
ils	il		
entendent	entendre		
souvent	souvent		
parler	parler		
,	,		
apprendront	apprendre		
dans	dans		
ce	ce		
Volume	Volume		
&	_		
dans	dans		
les	le		
suivans	suivant		
,	,		
par	par		
où	où		
ils	il		
sont	être		
recommandables	recommandable		
,	,		
&	avoir		
ce	ce		
qui	qui		
les	il		
fait	faire		
estimer	estimer		
.	.		
Lors	lors		
qu’on	queon		
voudra	vouloir		
connoître	connaître		
quelqu’un	quelqueun		
,	,		
on	on		
n’aura	naîrer		
qu’à	queà		
le	le		
chercher	chercher		
dans	dans		
Le	le		
Mercure	Mercure		
Galant	Galant		
,	,		
si	si		
l’on	lnon		
veut	vouloir		
estre	estre		
bientost	bientost		
éclaircy	éclaircy		
de	de		
ce	ce		
qu’on	queon		
souhaitera	souhaiter		
d’apprendre	dlapprendre		
.	.		
On	on		
en	en		
donnera	donner		
tous	tout		
les	le		
trois	trois		
Mois	Mois		
un	un		
Volume	Volume		
,	,		
&	ê		
dans	dans		
le	le		
second	second		
on	on		
marquera	marquer		
les	le		
temps	temps		
ausquels	auquel		
on	on		
les	il		
devra	devoir		
donner	donner		
,	,		
afin	afin		
que	que		
le	le		
Public	Public		
les	il		
ait	avoir		
dorenavant	dorenavant		
à	à		
jour	jour		
nommé	nommer		
.	.		
On	on		
y	y		
parlera	parler		
à	à		
l’avenir	liavenir		
des	un		
